Latitude,Longitude,Heading,targetThrottle
-29.272175741690436,-51.46944693059818,11.439759585324367,0.5
-29.272155986258337,-51.46944432623964,6.559980779865157,0.5
-29.272135216129296,-51.46944245460293,4.494507491482793,0.5
-29.272115557111018,-51.46944079843916,4.202941342934778,0.5
-29.272099135011214,-51.46943884049946,5.937504138159667,0.5
-29.272087968141985,-51.46943607737601,12.180040918548755,0.3
-29.272082145054327,-51.46943225413571,29.80092113146774,0.3
-29.272080085107465,-51.46942733076944,64.37528330070359,0.3
-29.272080152622877,-51.46942127435473,90.73217871734141,0.3
-29.272080711922037,-51.469414051969075,95.07317557375882,0.3
-29.272080127861898,-51.469405631016485,85.45392002556599,0.3
-29.272077298629355,-51.46939630409347,70.82513011305574,0.3
-29.2720726565381,-51.46938729921473,59.418118997722246,0.3
-29.272066908063408,-51.46938001156216,47.87806160392723,0.3
-29.27206075968055,-51.469375836317674,30.641063297144726,0.3
-29.2720549178648,-51.4693761686632,357.15895789106867,0.3
-29.272050048467943,-51.46938227649842,312.42550277982787,0.3
-29.27204634509368,-51.46939394806714,289.9886944740231,0.3
-29.27204369666955,-51.469410016996505,280.69951838788654,0.3
-29.27204198704514,-51.46942930100335,275.80320891417,0.3
-29.272041100070044,-51.46945061780452,272.73095008755934,0.3
-29.272040920018735,-51.46947278518779,270.5334856416622,0.3
-29.27204140015488,-51.46949463245651,268.5567923601911,0.3
-29.272042638412334,-51.46951501306223,266.0157508804291,0.3
-29.27204475094151,-51.469532783497165,262.23947973399845,0.3
-29.27204785389281,-51.469546800253546,255.76007390570007,0.3
-29.27205206341664,-51.469555919823584,242.11386631720504,0.3
-29.27205743115481,-51.46955919743406,208.04162890737342,0.3
-29.272063496441778,-51.46955726660009,164.48047185735618,0.3
-29.272069554306842,-51.46955151347872,140.3608035581457,0.3
-29.27207489827473,-51.4695433288622,126.81513882858076,0.3
-29.272078821870174,-51.46953410354278,115.99229906850084,0.3
-29.272080633075635,-51.469525219393375,103.15464467171063,0.3
-29.272080507337947,-51.4695175231271,88.92702886156832,0.3
-29.272079964673722,-51.46951103195941,84.52558904700533,0.3
-29.27208064076148,-51.46950569175108,98.25802864059631,0.3
-29.27208417127974,-51.46950144836292,133.64536958037536,0.3
-29.27209219190703,-51.46949824765572,160.80687869746808,0.3
-29.272105898019873,-51.46949598299361,171.79836653033522,0.5
-29.27212402119551,-51.46949425398488,175.24275941293035,0.5
-29.27214443648619,-51.46949255811542,175.85551759016226,0.5
-29.27216501808421,-51.469490392768556,174.7564504332305,0.5
-29.272183640181854,-51.469487255327635,171.63933335371348,0.5
-29.27219820807606,-51.46948265999333,164.6150835157145,0.3
-29.27220757040915,-51.469476631004994,150.6756621272592,0.3
-29.27221166642988,-51.46946978226023,124.43522156883267,0.3
-29.272210496138243,-51.46946276050304,79.18320022745029,0.3
-29.272204059534243,-51.469456212477446,41.58606947561462,0.3
-29.27219235661788,-51.469450784927425,22.02610262220182,0.3
