Latitude,Longitude
-29.272180689983838,-51.4694122843445
-29.272090689893837,-51.4694122843445
-29.272090689893837,-51.4693768180022
-29.27206889299704,-51.4693768180022
-29.27206889299704,-51.4694743504434
-29.272090689893837,-51.4694743504434
-29.272090689893837,-51.4694396901544
-29.272180689983838,-51.4694396901544
-29.272180689983838,-51.4694122843445
-29.272090689893837,-51.4694122843445
-29.272090689893837,-51.4693768180022
-29.27206889299704,-51.4693768180022
-29.27206889299704,-51.4694743504434
-29.272090689893837,-51.4694743504434
-29.272090689893837,-51.4694396901544
-29.272180689983838,-51.4694396901544
-29.272180689983838,-51.4694122843445
-29.272090689893837,-51.4694122843445
-29.272090689893837,-51.4693768180022
-29.27206889299704,-51.4693768180022
-29.27206889299704,-51.4694743504434
-29.272090689893837,-51.4694743504434
-29.272090689893837,-51.4694396901544
-29.272180689983838,-51.4694396901544
-29.272180689983838,-51.4694122843445
-29.272090689893837,-51.4694122843445
-29.272090689893837,-51.4693768180022
-29.27206889299704,-51.4693768180022
-29.27206889299704,-51.4694743504434
-29.272090689893837,-51.4694743504434
-29.272090689893837,-51.4694396901544
-29.272180689983838,-51.4694396901544
-29.272180689983838,-51.4694122843445
-29.272090689893837,-51.4694122843445
-29.272090689893837,-51.4693768180022
-29.27206889299704,-51.4693768180022
-29.27206889299704,-51.4694743504434
-29.272090689893837,-51.4694743504434
-29.272090689893837,-51.4694396901544
-29.272180689983838,-51.4694396901544
-29.272180689983838,-51.4694122843445
-29.272090689893837,-51.4694122843445
-29.272090689893837,-51.4693768180022
-29.27206889299704,-51.4693768180022
-29.27206889299704,-51.4694743504434
-29.272090689893837,-51.4694743504434
-29.272090689893837,-51.4694396901544
-29.272180689983838,-51.4694396901544
-29.272180689983838,-51.4694122843445
-29.272090689893837,-51.4694122843445
-29.272090689893837,-51.4693768180022
-29.27206889299704,-51.4693768180022
-29.27206889299704,-51.4694743504434
-29.272090689893837,-51.4694743504434
-29.272090689893837,-51.4694396901544
-29.272180689983838,-51.4694396901544
-29.272180689983838,-51.4694122843445
-29.272090689893837,-51.4694122843445
-29.272090689893837,-51.4693768180022
-29.27206889299704,-51.4693768180022
-29.27206889299704,-51.4694743504434
-29.272090689893837,-51.4694743504434
-29.272090689893837,-51.4694396901544
-29.272180689983838,-51.4694396901544
-29.272180689983838,-51.4694122843445
-29.272090689893837,-51.4694122843445
-29.272090689893837,-51.4693768180022
-29.27206889299704,-51.4693768180022
-29.27206889299704,-51.4694743504434
-29.272090689893837,-51.4694743504434
-29.272090689893837,-51.4694396901544
-29.272180689983838,-51.4694396901544
-29.272180689983838,-51.4694122843445
-29.272090689893837,-51.4694122843445
-29.272090689893837,-51.4693768180022
-29.27206889299704,-51.4693768180022
-29.27206889299704,-51.4694743504434
-29.272090689893837,-51.4694743504434
-29.272090689893837,-51.4694396901544
-29.272180689983838,-51.4694396901544
-29.272180689983838,-51.4694122843445
-29.272090689893837,-51.4694122843445
-29.272090689893837,-51.4693768180022
-29.27206889299704,-51.4693768180022
-29.27206889299704,-51.4694743504434
-29.272090689893837,-51.4694743504434
-29.272090689893837,-51.4694396901544
-29.272180689983838,-51.4694396901544
-29.272180689983838,-51.4694122843445
-29.272090689893837,-51.4694122843445
-29.272090689893837,-51.4693768180022
-29.27206889299704,-51.4693768180022
-29.27206889299704,-51.4694743504434
-29.272090689893837,-51.4694743504434
-29.272090689893837,-51.4694396901544
-29.272180689983838,-51.4694396901544
-29.272180689983838,-51.4694122843445
-29.272090689893837,-51.4694122843445
-29.272090689893837,-51.4693768180022
-29.27206889299704,-51.4693768180022
-29.27206889299704,-51.4694743504434
-29.272090689893837,-51.4694743504434
-29.272090689893837,-51.4694396901544
-29.272180689983838,-51.4694396901544
-29.272180689983838,-51.4694122843445
-29.272090689893837,-51.4694122843445
-29.272090689893837,-51.4693768180022
-29.27206889299704,-51.4693768180022
-29.27206889299704,-51.4694743504434
-29.272090689893837,-51.4694743504434
-29.272090689893837,-51.4694396901544
-29.272180689983838,-51.4694396901544
-29.272180689983838,-51.4694122843445
-29.272090689893837,-51.4694122843445
-29.272090689893837,-51.4693768180022
-29.27206889299704,-51.4693768180022
-29.27206889299704,-51.4694743504434
-29.272090689893837,-51.4694743504434
-29.272090689893837,-51.4694396901544
-29.272180689983838,-51.4694396901544
-29.272180689983838,-51.4694122843445
-29.272090689893837,-51.4694122843445
-29.272090689893837,-51.4693768180022
-29.27206889299704,-51.4693768180022
-29.27206889299704,-51.4694743504434
-29.272090689893837,-51.4694743504434
-29.272090689893837,-51.4694396901544
-29.272180689983838,-51.4694396901544
-29.272180689983838,-51.4694122843445
-29.272090689893837,-51.4694122843445
-29.272090689893837,-51.4693768180022
-29.27206889299704,-51.4693768180022
-29.27206889299704,-51.4694743504434
-29.272090689893837,-51.4694743504434
-29.272090689893837,-51.4694396901544
-29.272180689983838,-51.4694396901544
-29.272180689983838,-51.4694122843445
-29.272090689893837,-51.4694122843445
-29.272090689893837,-51.4693768180022
-29.27206889299704,-51.4693768180022
-29.27206889299704,-51.4694743504434
-29.272090689893837,-51.4694743504434
-29.272090689893837,-51.4694396901544
-29.272180689983838,-51.4694396901544
-29.272180689983838,-51.4694122843445
-29.272090689893837,-51.4694122843445
-29.272090689893837,-51.4693768180022
-29.27206889299704,-51.4693768180022
-29.27206889299704,-51.4694743504434
-29.272090689893837,-51.4694743504434
-29.272090689893837,-51.4694396901544
-29.272180689983838,-51.4694396901544
-29.272180689983838,-51.4694122843445
-29.272090689893837,-51.4694122843445
-29.272090689893837,-51.4693768180022
-29.27206889299704,-51.4693768180022
-29.27206889299704,-51.4694743504434
-29.272090689893837,-51.4694743504434
-29.272090689893837,-51.4694396901544
-29.272180689983838,-51.4694396901544
