Latitude,Longitude,Heading,targetThrottle
-29.27336473699955,-51.467855549553,359.0,0.25
-29.2732678000679,-51.4678575880897,0.0,0.5
-29.27315493767718,-51.46785821915684,0.0,0.5
-29.27307212058128,-51.46788503757109,0.0,0.5
-29.27299298550786,-51.46790471031449,0.0,0.1
