Latitude,Longitude	
-29.27142144901769,	-51.467750083204656
-29.27149344908969,	-51.467750083204656
-29.27149344908969,	-51.467728158699664
-29.27142144901769,	-51.467728158699664
-29.27142144901769,	-51.467699785810844
-29.271404011500252,	-51.467699785810844
-29.271404011500252,	-51.4677778112551
-29.27142144901769,	-51.4677778112551
-29.27142144901769,	-51.467750083204656
